TIMESTAMP;RECORD;Batt_Volt_Min;PTemp;S_HFlux_1_Avg;S_HFlux_2_Avg;S_HFlux_3_Avg;S_HFlux_1_Min;S_HFlux_2_Min;S_HFlux_3_Min;S_HFlux_1_Max;S_HFlux_2_Max;S_HFlux_3_Max;VWC_1_Avg;EC_1_Avg;TSoil_1_Avg;VWC_2_Avg;EC_2_Avg;TSoil_2_Avg;VWC_3_Avg;EC_3_Avg;TSoil_3_Avg;VWC_4_Avg;EC_4_Avg;TSoil_4_Avg;VWC_5_Avg;EC_5_Avg;TSoil_5_Avg;VWC_6_Avg;EC_6_Avg;TSoil_6_Avg;AirTC_Avg;AirTC_Min;AirTC_Max;RH;TdewC;SVP_kPa;VP_kPa;SR01Up_Avg;SR01Dn_Avg;IR01Up_Avg;IR01Dn_Avg;NR01TC_Avg;NR01TK_Avg;NetRs_Avg;NetRl_Avg;Albedo_Avg;UpTot_Avg;DnTot_Avg;NetTot_Avg;IR01UpCo_Avg;IR01DnCo_Avg;SR01Up_Min;SR01Dn_Min;IR01Up_Min;IR01Dn_Min;SR01Up_Max;SR01Dn_Max;IR01Up_Max;IR01Dn_Max;NR01heat_DC
TS;RN;;;W/m^2;W/m^2;W/m^2;W/m^2;W/m^2;W/m^2;W/m^2;W/m^2;W/m^2;m^3/m^3;dS/m;deg C;m^3/m^3;dS/m;deg C;m^3/m^3;dS/m;deg C;m^3/m^3;dS/m;deg C;m^3/m^3;dS/m;deg C;m^3/m^3;dS/m;deg C;Deg C;Deg C;Deg C;%;Deg C;kPa;kPa;W/m2;W/m2;W/m2;W/m2;Deg C;K;W/m2;W/m2;%;W/m2;W/m2;W/m2;W/m2;W/m2;W/m2;W/m2;W/m2;W/m2;W/m2;W/m2;W/m2;W/m2;
;;Min;Smp;Avg;Avg;Avg;Min;Min;Min;Max;Max;Max;Avg;Avg;Avg;Avg;Avg;Avg;Avg;Avg;Avg;Avg;Avg;Avg;Avg;Avg;Avg;Avg;Avg;Avg;Avg;Min;Max;Smp;Smp;Smp;Smp;Avg;Avg;Avg;Avg;Avg;Avg;Avg;Avg;Avg;Avg;Avg;Avg;Avg;Avg;Min;Min;Min;Min;Max;Max;Max;Max;Avg
2016-05-10 00:00:00;53712;11.81;16.44;1.471899;-5.773551;NAN;0.9065406;-6.261106;NAN;2.075111;-5.175737;NAN;0.2444966;0.018295;11.00325;0.19947;0.018125;12.37949;0.191105;0.02019167;12.42033;0.231205;0.02057;11.36596;0.2271833;0.02080333;12.16941;0.2114616;0.02394333;12.81955;14.27066;13.81215;14.86131;52.82944;4.363668;1.578109;0.8337062;0;0.3839069;-79.68436;-23.13614;13.01509;286.1651;-0.3839069;-56.54822;NAN;-79.68436;-22.75223;-56.93213;300.5535;357.1017;0;0;-82.82055;-26.01386;0;1.53839;-77.23264;-20.83592;0
2016-05-10 00:30:00;53713;11.82;15.97;0.377004;-6.671488;NAN;-0.1201504;-7.075321;NAN;0.8846962;-6.261106;NAN;0.2444467;0.01832167;11.01165;0.1993067;0.01808;12.32835;0.1915067;0.020115;12.2516;0.23111;0.02055667;11.36745;0.2270233;0.02077833;12.10825;0.211345;0.02383;12.63008;14.29681;13.74438;14.76105;46.11996;3.213664;1.667168;0.768897;0;1.512833;-78.16002;-21.95282;12.46314;285.6131;-1.512833;-56.2072;NAN;-78.16002;-20.43998;-57.72004;299.148;355.3552;0;0.1663165;-79.23897;-23.27719;0;3.160064;-76.86336;-20.24072;0
2016-05-10 01:00:00;53714;11.8;15.8;-0.5969351;-7.486845;NAN;-1.026757;-7.878479;NAN;-0.1419959;-7.086173;NAN;0.2442;0.01827667;11.01845;0.1993133;0.018025;12.27656;0.1914;0.01998;12.09669;0.23112;0.02052;11.36275;0.2269;0.02074167;12.04716;0.2112717;0.02366333;12.4509;14.76335;13.4734;15.2694;51.74517;3.75425;1.54369;0.7987848;0;1.523967;-81.44576;-25.25769;13.19664;286.3466;-1.523967;-56.18806;NAN;-81.44576;-23.73372;-57.71203;299.7549;355.9429;0;0;-83.14657;-28.04111;0;2.7028;-79.18881;-23.15888;0
2016-05-10 01:30:00;53715;11.81;15.34;-1.405826;-8.178403;NAN;-1.758711;-8.432488;NAN;-1.048605;-7.889352;NAN;0.2442;0.01829167;11.01995;0.1993217;0.01799;12.22082;0.191365;0.01990333;11.95045;0.2309133;0.02050667;11.35733;0.2269;0.02067833;11.98387;0.2115233;0.02353667;12.27693;12.83081;12.38973;13.43951;55.98589;4.027531;1.45444;0.8142813;0;0.1933668;-74.20561;-21.04829;11.8428;284.9928;-0.1933668;-53.15733;NAN;-74.20561;-20.85493;-53.35069;299.8452;353.0025;0;0;-80.03448;-25.7789;0;1.330704;-71.01632;-17.50444;0
2016-05-10 02:00:00;53716;11.8;14.73;-2.055777;-8.685853;NAN;-2.458108;-8.965294;NAN;-1.769635;-8.443341;NAN;0.2442;0.018285;11.01773;0.1993317;0.01795833;12.15907;0.191455;0.01983333;11.8096;0.2308783;0.02046333;11.33993;0.2269017;0.02062667;11.91811;0.2115717;0.0234;12.11577;11.96399;11.52119;12.63081;60.334;4.17853;1.364003;0.8229572;0;0.9780089;-68.61701;-15.20418;10.21773;283.3677;-0.9780089;-53.41283;NAN;-68.61701;-14.22617;-54.39084;296.9692;350.3821;0;0.0831726;-71.22839;-18.27874;0;2.661733;-66.64421;-12.38561;0
2016-05-10 02:30:00;53717;11.84;14.32;-2.827096;-9.246875;NAN;-3.168386;-9.519317;NAN;-2.469033;-8.976148;NAN;0.2442;0.01828;11.01161;0.1993566;0.01789;12.09795;0.1920217;0.01976333;11.66144;0.2308817;0.02045;11.32469;0.226725;0.02061333;11.85063;0.2115933;0.02330333;11.96041;11.80989;11.3874;12.60936;55.93166;3.803828;1.433136;0.8015767;0.05266108;2.53843;-67.62931;-13.571;9.697027;282.847;-2.485769;-54.0583;NAN;-67.57664;-11.03257;-56.54408;295.2737;349.332;0;1.206141;-69.97362;-16.07828;0.4012284;3.784819;-66.59418;-12.2668;0
2016-05-10 03:00:00;53718;11.83;14.16;-3.516932;-9.815524;NAN;-3.856728;-10.10555;NAN;-3.179312;-9.530171;NAN;0.2442;0.01825;11.00453;0.1993767;0.01784333;12.03255;0.1920467;0.01969;11.51719;0.2306433;0.02042167;11.30624;0.2266183;0.020585;11.78003;0.2116967;0.02315667;11.80713;12.33657;11.89818;13.05081;56.77964;3.79614;1.410969;0.8011432;0;1.943729;-72.40063;-17.56017;10.54084;283.6908;-1.943729;-54.84047;NAN;-72.40063;-15.61644;-56.7842;294.8535;349.694;0;0.2911444;-75.67352;-19.23456;0;3.576915;-70.34301;-16.25692;0
2016-05-10 03:30:00;53719;11.83;14.28;-4.132055;-10.3534;NAN;-4.359307;-10.47461;NAN;-3.867653;-10.11641;NAN;0.2440317;0.01826167;10.99117;0.1992533;0.01781;11.96744;0.19219;0.01960667;11.39082;0.2306;0.020405;11.28491;0.2266333;0.02053167;11.70884;0.2116467;0.02305833;11.65741;12.57853;11.86441;13.08475;57.32203;3.963127;1.414125;0.8106055;0;1.100111;-76.74836;-19.96604;11.27839;284.4284;-1.100111;-56.78231;NAN;-76.74836;-18.86593;-57.88242;294.3388;351.1211;0;0;-78.576;-21.73567;0;2.453933;-74.35429;-18.22223;0
2016-05-10 04:00:00;53720;11.81;14.04;-4.563251;-10.67415;NAN;-4.774479;-10.91965;NAN;-4.359307;-10.47461;NAN;0.2439017;0.01824;10.97858;0.1991017;0.01774167;11.90185;0.192535;0.01954333;11.27412;0.2306;0.02035;11.26014;0.2266483;0.02048;11.63676;0.2119117;0.02295667;11.51498;11.81525;11.45763;12.47458;58.57627;4.367116;1.423627;0.8339075;0;0.5441632;-74.71756;-20.02163;10.57391;283.7239;-0.5441632;-54.69593;NAN;-74.71756;-19.47746;-55.2401;292.7077;347.4037;0;0;-77.73167;-22.74802;0;2.038013;-73.14059;-18.34133;0
2016-05-10 04:30:00;53721;11.8;14.04;-5.040699;-11.16134;NAN;-5.287982;-11.35383;NAN;-4.774479;-10.9305;NAN;0.243905;0.01822167;10.96451;0.1991;0.017715;11.83394;0.192635;0.01948833;11.1508;0.23035;0.020305;11.23339;0.22657;0.02044833;11.56713;0.21191;0.02290167;11.37634;12.39887;11.59322;13.01695;56.77966;3.827908;1.414125;0.8029357;0.3686337;1.887588;-76.69472;-19.72586;10.97634;284.1263;-1.518954;-56.96885;NAN;-76.32608;-17.83828;-58.4878;292.8221;349.791;0;0.5822893;-78.78709;-21.19972;1.705244;3.327367;-73.77384;-17.44809;0
2016-05-10 05:00:00;53722;11.8;14.06;-5.435659;-11.43488;NAN;-5.572047;-11.47323;NAN;-5.298908;-11.36468;NAN;0.24391;0.01818166;10.94449;0.1991;0.01767333;11.76503;0.1928717;0.01945167;11.04279;0.2303116;0.02027833;11.2057;0.2263967;0.02039667;11.49567;0.2129167;0.02346833;11.24512;12.07514;11.32203;12.61017;56.61017;3.944077;1.429992;0.809521;8.087372;1.963147;-77.47749;-19.96506;11.06764;284.2176;6.124225;-57.51243;0.2859569;-69.39011;-18.00191;-51.3882;292.5112;350.0236;1.905861;0.1663684;-79.36757;-22.27162;18.15584;4.57513;-76.30685;-17.62673;0
2016-05-10 05:30:00;53723;11.8;14.21;-5.526706;-11.38295;NAN;-5.659452;-11.46237;NAN;-5.44094;-11.1693;NAN;0.24391;0.0182;10.92409;0.19911;0.01760833;11.69701;0.192855;0.01937833;10.95851;0.230305;0.020245;11.17592;0.2264;0.020365;11.42257;0.2122917;0.02282667;11.12828;12.13559;11.83051;12.37288;60.64407;4.575562;1.39529;0.8461607;36.54071;7.965579;-78.60591;-16.83472;11.18328;284.3333;28.57513;-61.77118;0.2165879;-42.06519;-8.869143;-33.19605;291.9847;353.7559;17.65429;4.200801;-80.47576;-18.34133;83.80775;19.88102;-76.99287;-15.24474;0
