Date;Tair;RH;RRR
31.08.2016 21:00;11.9;84;2
31.08.2016 18:00;16.8;57;
31.08.2016 15:00;16.6;57;
31.08.2016 12:00;14.6;64;
31.08.2016 9:00;14.4;88;
31.08.2016 6:00;14.2;86;
31.08.2016 3:00;15.5;84;
31.08.2016 0:00;16.5;87;
30.08.2016 21:00;17.1;86;2
30.08.2016 18:00;18;92;2
30.08.2016 15:00;22.8;66;
30.08.2016 12:00;23.8;64;
30.08.2016 9:00;22.2;67;
30.08.2016 6:00;19.8;75;
30.08.2016 3:00;20.1;72;
30.08.2016 0:00;19.6;66;
29.08.2016 21:00;19.1;61;
29.08.2016 18:00;20.8;50;
29.08.2016 15:00;20.8;46;
29.08.2016 12:00;19;39;
29.08.2016 9:00;17.2;45;
29.08.2016 6:00;8.9;97;
29.08.2016 3:00;9.1;95;
29.08.2016 0:00;12;84;
28.08.2016 21:00;15.6;61;
28.08.2016 18:00;19.5;45;
28.08.2016 15:00;21.4;41;
28.08.2016 12:00;21.1;38;
28.08.2016 9:00;19.6;53;
28.08.2016 6:00;18.1;77;
28.08.2016 3:00;19.6;68;
28.08.2016 0:00;20.8;64;
27.08.2016 21:00;22.9;58;
27.08.2016 18:00;25.5;49;
27.08.2016 15:00;26.9;46;
27.08.2016 12:00;24.9;55;
27.08.2016 9:00;20.2;70;
27.08.2016 6:00;14.2;97;
27.08.2016 3:00;15.4;95;
27.08.2016 0:00;17.1;86;
26.08.2016 21:00;19.5;72;
26.08.2016 18:00;20.3;65;
26.08.2016 15:00;20.8;62;
26.08.2016 12:00;20.2;58;
26.08.2016 9:00;17.9;65;
26.08.2016 6:00;10.9;97;
26.08.2016 3:00;11.7;96;
26.08.2016 0:00;12.4;91;
25.08.2016 21:00;13.9;79;
25.08.2016 18:00;18.9;59;
25.08.2016 15:00;19.8;57;
25.08.2016 12:00;18.7;69;
25.08.2016 9:00;15.8;85;3
25.08.2016 6:00;14.9;91;9
25.08.2016 3:00;15.1;92;
25.08.2016 0:00;15.7;94;
24.08.2016 21:00;16.3;93;6
24.08.2016 18:00;18.7;78;
24.08.2016 15:00;23.9;63;
24.08.2016 12:00;24.3;61;
24.08.2016 9:00;20.2;91;17
24.08.2016 6:00;17.8;99;17
24.08.2016 3:00;18.2;98;
24.08.2016 0:00;17.6;97;
23.08.2016 21:00;21.1;83;2
23.08.2016 18:00;21.6;94;2
23.08.2016 15:00;26.7;56;
23.08.2016 12:00;27.2;54;
23.08.2016 9:00;24.2;73;
23.08.2016 6:00;16.6;98;
23.08.2016 3:00;16.9;98;
23.08.2016 0:00;17.7;96;
22.08.2016 21:00;20.5;84;
22.08.2016 18:00;24.7;67;
22.08.2016 15:00;28.1;49;
22.08.2016 12:00;26.6;55;
22.08.2016 9:00;20.2;93;
22.08.2016 6:00;16.3;99;
22.08.2016 3:00;16.8;98;
22.08.2016 0:00;17.8;97;
21.08.2016 21:00;20.3;91;
21.08.2016 18:00;25.8;51;
21.08.2016 15:00;25.9;56;
21.08.2016 12:00;24.7;65;
21.08.2016 9:00;22.6;75;
21.08.2016 6:00;16.2;98;
21.08.2016 3:00;15.9;97;
21.08.2016 0:00;17.6;98;
20.08.2016 21:00;18.9;95;4
20.08.2016 18:00;21.9;82;5
20.08.2016 15:00;22.5;81;
20.08.2016 12:00;21.2;88;
20.08.2016 9:00;19.2;96;1
20.08.2016 6:00;17.3;98;2
20.08.2016 3:00;17.8;97;
20.08.2016 0:00;18.9;96;
19.08.2016 21:00;19.3;96;4
19.08.2016 18:00;19.5;95;2
19.08.2016 15:00;28;54;
19.08.2016 12:00;28.2;48;
19.08.2016 9:00;22.8;67;
19.08.2016 6:00;15.8;97;
19.08.2016 3:00;16.2;96;
19.08.2016 0:00;17.4;94;
18.08.2016 21:00;20.3;81;0.3
18.08.2016 18:00;26.1;49;0.3
18.08.2016 15:00;25.1;56;
18.08.2016 12:00;25.3;53;
18.08.2016 9:00;20.9;68;
18.08.2016 6:00;15;94;
