Year,datetime,Date,HourInt,NEE,GPP,Reco,LE,H,Tair,VPD,RH,WUE,PPFD,Rg,Phase,Phase_lab
2013,2013-05-17T00:30:00Z,2013-05-17,0,-0.291547,0.00379815821886344,1.21304641240928,2.56749,-8.8370185937037,19.39142,5.32855,75.44874,0.00362580236758224,0,1.66906,Emergence,Всходы
2013,2013-05-17T01:00:00Z,2013-05-17,1,5.73898,0.00451292246585913,1.18385500891486,16.6765,-18.2099,19.01104,5.52798,74.90656,6.6327373700386e-4,0,1.983018,Emergence,Всходы
2013,2013-05-17T01:30:00Z,2013-05-17,1,17.9716,0.00347896908168464,1.2073121781203,20.3135,-26.7554,19.26315,5.86168,73.61629,4.1976444256917e-4,0,1.526354,Emergence,Всходы
2013,2013-05-17T02:00:00Z,2013-05-17,2,1.94781,0.00228037620116364,1.23798668118589,8.42765,-17.8803,19.59705,6.30696,72.08828,6.6319286583961e-4,0,0.9988132,Emergence,Всходы
2013,2013-05-17T02:30:00Z,2013-05-17,2,3.0016147826087,8.1438768534728e-4,1.21987447627104,12.9594,-24.3122,19.35313,6.75382,70.42444,1.5402319925306e-4,0,0.3560254,Emergence,Всходы
2013,2013-05-17T03:00:00Z,2013-05-17,3,3.83247,0.00135703147513845,1.26133659001219,2.84105726744186,-27.2175,19.8104,7.88101,66.34974,0.00117071119094297,0,0.5931252,Emergence,Всходы
2013,2013-05-17T03:30:00Z,2013-05-17,3,1.29015,0.00109103458079293,1.27970405933888,3.00149,-23.6193,19.9932,7.94017,65.73853,8.9092562850069e-4,0,0.4764363,Emergence,Всходы
2013,2013-05-17T04:00:00Z,2013-05-17,4,-7.87881,2.8992906399477e-4,1.2175918205411,-0.394673,-24.5659,19.23712,7.38747,67.02885,NA,0,0.1264355,Emergence,Всходы
2013,2013-05-17T04:30:00Z,2013-05-17,4,1.65521,0.00150601764421926,1.17305866988357,7.10616,-22.7353,18.67458,5.61106,73.48047,5.1943943229869e-4,0,0.6570023,Emergence,Всходы
2013,2013-05-17T05:00:00Z,2013-05-17,5,2.57192223595506,0.00238739097642499,1.14226960899326,3.53369,-17.1316,18.27051,5.00764,75.92529,0.00165590316966963,0.09322409,1.041595,Emergence,Всходы
