DATE_1;TIME_1;PTemp;Rain_mm_Tot;S_HFlux_1_Avg;S_HFlux_2_Avg;S_HFlux_3_Avg;S_HFlux_1_Min;S_HFlux_2_Min;S_HFlux_3_Min;S_HFlux_1_Max;S_HFlux_2_Max;S_HFlux_3_Max;VWC_1_Avg;EC_1_Avg;TSoil_1_Avg;VWC_2_Avg;EC_2_Avg;TSoil_2_Avg;VWC_3_Avg;EC_3_Avg;TSoil_3_Avg;VWC_4_Avg;EC_4_Avg;TSoil_4_Avg;VWC_5_Avg;EC_5_Avg;TSoil_5_Avg;VWC_6_Avg;EC_6_Avg;TSoil_6_Avg;AirTC_Avg;RH;SVP_kPa;VP_kPa;PAR_Den_Avg;PAR_Den_Min;PAR_Den_Max;PAR_Tot_Tot;SR01Up_Avg;SR01Dn_Avg;IR01Up_Avg;IR01Dn_Avg;NR01TC_Avg;NR01TK_Avg;NetRs_Avg;NetRl_Avg;Albedo_Avg;UpTot_Avg;DnTot_Avg;NetTot_Avg;IR01UpCo_Avg;IR01DnCo_Avg;SR01Up_Min;SR01Dn_Min;IR01Up_Min;IR01Dn_Min;SR01Up_Max;SR01Dn_Max;IR01Up_Max;IR01Dn_Max;NR01heat_DC
NA;NA;NA;mm;W/m^2;W/m^2;W/m^2;W/m^2;W/m^2;W/m^2;W/m^2;W/m^2;W/m^2;m^3/m^3;dS/m;deg C;m^3/m^3;dS/m;deg C;m^3/m^3;dS/m;deg C;m^3/m^3;dS/m;deg C;m^3/m^3;dS/m;deg C;m^3/m^3;dS/m;deg C;Deg C;%;kPa;kPa;umol/s/m^2;umol/s/m^2;umol/s/m^2;mmol/m^2;W/m2;W/m2;W/m2;W/m2;Deg C;K;W/m2;W/m2;%;W/m2;W/m2;W/m2;W/m2;W/m2;W/m2;W/m2;W/m2;W/m2;W/m2;W/m2;W/m2;W/m2;NA
22.03.2013;14:00:00;-1.437;0;-3.466051;-3.905496;-2.153251;-3.477232;-3.927561;-2.174677;-3.45487;-3.883431;-2.131826;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;-7.779285;44.72072;0.3165173;0.1415488;206.6868;205.437;207.9367;12.40121;499.3327;338.148;-115.4643;-8.801797;-4.113914;269.0361;161.1847;-106.6626;0.6771981;383.8684;329.3462;54.52214;181.5835;288.246;499.1258;335.9041;-116.6996;-10.08922;499.5397;340.3919;-114.2291;-7.51437;1
22.03.2013;14:30:00;-1.159;0;-3.474522;-3.869894;-2.146582;-3.499428;-4.114863;-2.174574;-3.41012;-3.762003;-2.078246;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;-7.543703;44.24388;0.3249345;0.1437636;502.4419;23.7093;1066.635;904.3955;526.1033;332.4996;-117.5196;-11.57248;-2.687537;270.4625;193.6036;-105.9472;0.6316787;408.5836;320.9272;87.65648;185.8857;291.8328;447.7803;205.892;-124.6925;-19.38931;569.4299;379.6942;-107.4024;2.627304;1
22.03.2013;15:00:00;0.246;0;-3.494366;-4.155662;-2.165869;-3.499381;-4.191985;-2.185257;-3.465841;-4.125543;-2.153121;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;-7.163591;43.32145;0.3315682;0.1436402;1016.705;881.0546;1085.755;1830.068;543.0748;363.7222;-123.8474;-19.47568;-1.795468;271.3545;179.3525;-104.3717;0.6697077;419.2274;344.2465;74.9808;183.5738;287.9455;461.8069;286.5024;-126.9782;-21.7005;571.9129;382.1161;-120.7499;-16.49908;1
22.03.2013;15:30:00;1.798;0;-3.509587;-4.577654;-2.178036;-3.521317;-4.985713;-2.185007;-3.499009;-4.158587;-2.174256;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;-6.819555;43.17323;0.3410892;0.1472593;931.8367;792.0453;999.1688;1677.306;501.0086;333.5216;-122.9635;-20.60214;-1.53284;271.6171;167.4869;-102.3614;0.6658849;378.045;312.9195;65.12554;185.6552;288.0166;423.1101;284.7295;-126.2652;-23.90491;537.9441;361.285;-119.2689;-17.02237;1
22.03.2013;16:00:00;2.544;0;-3.513643;-5.200903;-2.175574;-3.521265;-5.481354;-2.184961;-3.509631;-4.996732;-2.163295;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;-6.743026;43.22771;0.343769;0.1486034;878.4085;782.5966;945.653;1581.135;476.7914;317.8583;-119.2861;-20.26549;-1.696163;271.4538;158.9331;-99.02059;0.6666955;357.5053;297.5928;59.91249;188.5872;287.6078;419.6754;279.9279;-123.7322;-22.59095;512.2686;342.2378;-113.3099;-18.07064;1
22.03.2013;16:30:00;2.544;0;-3.513588;-6.021745;-2.171267;-3.520639;-6.605257;-2.173969;-3.509102;-5.492383;-2.162933;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;-6.859868;42.61407;0.3387883;0.1443715;706.8264;357.4472;836.655;1272.288;380.3709;255.4512;-111.1994;-19.61667;-2.251618;270.8984;124.9197;-91.58272;0.6740767;269.1715;235.8345;33.33696;194.1591;285.7419;166.8696;116.0854;-115.7042;-24.16077;461.6612;308.7123;-105.4185;-17.7546;1
22.03.2013;17:00:00;2.139;0;-3.511772;-7.611447;-2.171958;-3.520252;-8.501554;-2.173625;-3.508924;-6.638338;-2.162823;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;-6.941216;43.05651;0.3387873;0.14587;553.8576;345.6043;752.4155;996.9438;300.016;206.0007;-106.1135;-19.67355;-2.709119;270.4409;94.01527;-86.43997;0.6910474;193.9025;186.3272;7.575304;197.1875;283.6274;173.978;126.9557;-110.9991;-21.79604;427.3339;284.088;-101.5293;-16.54402;1
22.03.2013;17:30:00;1.927;0;-3.50984;-9.277606;-2.163528;-3.520095;-9.857771;-2.17353;-3.497728;-8.534634;-2.152103;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;-6.886197;45.54119;0.3309954;0.1507393;505.1967;296.7101;645.4756;909.354;279.9179;195.7094;-102.1862;-20.98091;-2.546582;270.6034;84.2085;-81.20531;0.6998491;177.7317;174.7285;3.003189;201.8472;283.0526;153.3847;106.9742;-110.9351;-23.2139;365.1782;256.4936;-91.2405;-19.27484;1
22.03.2013;18:00:00;1.33;0;-3.508739;-10.2695;-2.161753;-3.508993;-10.67402;-2.162866;-3.497764;-9.868797;-2.152102;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;-7.188741;45.13695;0.327249;0.1477102;368.5692;254.2431;466.1897;663.4245;205.2041;143.8223;-90.64536;-18.46879;-3.293591;269.8564;61.38177;-72.17657;0.7034079;114.5587;125.3535;-10.79481;210.042;282.2185;133.2972;97.97403;-93.65083;-20.69311;269.3284;180.2404;-87.71503;-16.22869;1
