Doy,date ,vegetation_day,phase,NEE_f_sums,Reco,GPP,SWC_1,Tsoil_f,PAR_Den_Avg,Tair_f,Rain_mm_Tot_sums
115,40292,1,seeds,180,200,19.8,0.34,15,27.027275,11.725,0
116,40293,2,seeds,181,204,22.3,0.33,16,100,10.875,0
117,40294,3,seeds,181.9167965,205.9167965,24.6,0.32,18.12176675,192.650575,16.425,0
118,40295,4,germination,184.1167478,208.1167478,23.8,0.31,18.21994175,365.321675,21.325,0
119,40296,5,germination,193.8720346,217.8720346,24.5,0.3,18.66172925,100,12.4125,32
120,40297,6,germination,182.7208809,211.7208809,28.7,0.29,18.3819305,71.076025,12.975,0
121,40298,7,germination,170.2525229,200.2525229,32,0.2873,17.8714205,195.2935,16.5,35
122,40299,8,germination,176.3702957,213.3702957,35.6,0.2847,18.4565435,67.1116375,12.8625,13
123,40300,9,germination,176.0937941,221.0937941,45,0.2821,18.8099735,136.268175,14.825,0
124,40301,10,germination,163.5569235,218.5569235,55,0.2795,18.69314525,313.7846375,19.8625,0
125,40302,11,germination,158.6210728,218.6210728,60,0.2769,18.6960905,229.651525,17.475,0
126,40303,12,germination,154.1718152,218.1718152,64,0.2743,18.67547375,142.8754875,15.0125,0
127,40304,13,germination,139.2403214,213.2403214,74,0.2717,18.450653,68.4331,12.9,0
128,40305,14,sprouting,138.659694,215.659694,77,0.2691,18.560609,127.0179375,14.5625,0
129,40306,15,sprouting,141.2691756,224.2691756,83,0.2665,18.957236,212.913,17,0
130,40307,16,sprouting,145.6638518,235.6638518,90,0.2639,19.495235,278.986125,18.875,0
131,40308,17,sprouting,147.9470536,247.9470536,100,0.2613,20.0922987,320.8324375,20.0625,0
132,40309,18,sprouting,120.8683041,255.8683041,135,0.258782845,20.48699963,309.82025,19.75,0
133,40310,19,sprouting,-31.66048384,221.5614347,253.2219185,0.256265689,21.85388731,469.7775928,22.1645333,0.1
134,40311,20,sprouting,-89.32505241,268.282522,357.6075744,0.253062479,19.94061813,433.8757383,22.02547659,0.3
135,40312,21,sprouting,-149.9930171,249.294456,399.2874731,0.251640985,21.12875583,546.2941046,24.41837063,0
136,40313,22,tillering,-129.9137685,266.7301182,396.6438867,0.250734308,21.86370792,516.4185797,24.24047111,0.6
137,40314,23,tillering,-133.8638951,243.1667069,377.030602,0.248133169,21.81836479,577.4687955,24.42107906,9.3
138,40315,24,tillering,-131.8308363,273.3066288,405.1374651,0.246173646,22.00517792,630.2572529,25.38210025,0
139,40316,25,tillering,-165.2668993,370.0879873,535.3548866,0.245662019,21.66478354,469.8015641,21.85417573,0.3
140,40317,26,tillering,-86.01883847,294.4784253,380.4972638,0.336554819,20.67657958,414.1610634,20.42563285,29.9
141,40318,27,tillering,-134.4416502,258.5001028,392.941753,0.443161433,20.57003771,504.4798797,21.61643635,5.4
142,40319,28,tillering,-180.254245,284.514926,464.7691713,0.438909692,20.52670292,514.3551018,20.6321783,10
143,40320,29,tillering,-140.5609554,309.9073381,450.4682935,0.43866711,20.51961604,530.9715128,22.58631608,0
144,40321,30,tillering,-135.9803061,265.6563086,401.6366147,0.423095785,20.35521417,475.2255318,23.57492639,0
145,40322,31,tillering,-47.92413736,240.2685944,288.1927317,0.412191223,18.86579542,225.9945144,18.78688977,2.3
146,40323,32,tillering,-210.2525594,252.221098,462.4736574,0.405400419,20.27662333,641.3220667,19.58239856,0
147,40324,33,tillering,-187.0958034,225.2307493,412.3265527,0.396380473,19.31896875,381.2840138,19.22893656,5.9
148,40325,34,tillering,-253.7884478,203.4996109,457.2880587,0.391212692,19.39235146,450.6007268,19.13962541,0
149,40326,35,tillering,-244.3936025,246.0619248,490.4555273,0.386241121,19.16384039,218.0313305,17.04227138,0
150,40327,36,tillering,-224.1875367,248.6931994,472.8807361,0.385409485,19.16321559,339.1073838,20.49497772,0
151,40328,37,tillering,-256.0716828,285.4849332,541.5566162,0.380801491,19.20183712,382.0477265,21.71950057,0
152,40329,38,tillering,-261.519645,242.5611809,504.0808259,0.376369306,19.3924305,403.5336901,22.33221234,0
153,40330,39,tillering,-31.03985931,156.3590574,187.3989167,0.372101854,19.57992627,310.1307279,19.66865509,0
154,40331,40,tillering,-138.0489445,205.3385594,343.3875039,0.36798902,19.22812064,267.421585,18.45072533,0
