Количество осадков за 2023 год;;;;;;
Число;Апр;Май;Июн;Июл;Авг;Сен
1;4.2;5.3;0.1;0.4;0.0;-
2;1.6;-;1.5;-;0.1;2.0
3;1.2;0.6;10.9;-;0.1;0.3
4;0.3;0.3;0.0;-;-;1.8
5;0.0;0.0;1.1;-;-;0.1
6;-;0.0;-;-;-;-
7;-;-;0.1;1.9;-;-
8;-;-;-;1.0;0.0;3.2
9;0.0;-;0.0;-;0.0;-
10;0.0;-;-;0.0;-;-
11;0.2;2.7;-;1.0;1.3;-
12;-;0.1;-;0.4;4.1;-
13;-;-;-;20.9;1.1;-
14;-;-;-;3.4;5.9;-
15;-;-;-;6.7;-;-
16;-;-;-;-;-;0.5
17;-;-;-;-;-;0.1
18;-;-;-;6.7;2.3;0.0
19;-;0.5;-;27.9;-;-
20;-;0.4;0.1;0.3;21.5;-
21;-;4.4;-;0.1;-;-
22;-;7.3;-;0.0;0.0;-
23;-;0.8;13.4;8.6;3.2;-
24;-;0.3;0.4;2.8;0.0;-
25;0.0;1.8;-;11.7;0.1;2.3
26;10.1;0.8;0.5;36.1;0.0;0.1
27;0.0;-;-;-;0.0;-
28;4.5;3.8;0.3;11.5;-;-
29;13.8;-;33.7;9.5;0.0;-
30;1.8;-;16.1;0.3;-;0.0
31;;4.2;;-;-;
;;;;;;
Декады;Апр;Май;Июн;Июл;Авг;Сен
I;7.3;6.2;13.7;3.3;0.2;7.4
II;0.2;3.7;0.1;67.3;36.2;0.6
III;30.2;23.4;64.4;80.6;3.3;2.4
Месяц;37.7;33.3;78.2;151.2;39.7;10.4
